model_number,star_age,star_mass,log_L,log_R,log_Teff,log_center_Rho,log_center_P,center_h1,center_he3,center_he4,star_mdot
1,1e-05,0.9999999999999962,2.510639322685555,1.4683078870900974,3.655135305352653,-3.2889359138551715,10.31164352941012,0.7,2.9797635251138614e-05,0.27997020236474884,-3.8325567540292867e-10
2,2.2000000000000003e-05,0.9999999999999916,2.507447260648761,1.4682800402552996,3.6543512132608535,-3.2889358534011177,10.31164356213508,0.7,2.9797635251138618e-05,0.27997020236474884,-3.810721419571994e-10
3,3.6400000000000004e-05,0.9999999999999861,2.5038430034212444,1.468247451117339,3.6534664435229542,-3.2889354470137655,10.311644163400764,0.7,2.9797635251138614e-05,0.27997020236474884,-3.782572773482751e-10
4,5.368e-05,0.9999999999999797,2.4998220001163785,1.4682094707280628,3.6524801828913764,-3.2889353095642737,10.31164431093924,0.7,2.9797635251138618e-05,0.27997020236474884,-3.7510292079821363e-10
5,7.4416e-05,0.9999999999999719,2.495214779403055,1.4681649962296124,3.6513506149622708,-3.2889352289505402,10.311644358306228,0.7,2.9797635251138618e-05,0.27997020236474884,-3.71613482446185e-10
6,9.929919999999999e-05,0.9999999999999628,2.490451561691855,1.4681142779251743,3.65018516968669,-3.2889351428468356,10.31164441029111,0.7,2.979763525113862e-05,0.27997020236474884,-3.6765439922896306e-10
7,0.00012915903999999998,0.9999999999999519,2.484799986801437,1.4680544088466445,3.64880221050335,-3.2889349830168033,10.311644581850034,0.7,2.9797635251138618e-05,0.27997020236474884,-3.6360163793665983e-10
8,0.00016499084799999998,0.999999999999939,2.4781997536917975,1.467984909166894,3.6471869020658154,-3.288934887231233,10.311644645567576,0.7,2.9797635251138618e-05,0.27997020236474884,-3.5885118688076466e-10
9,0.00020798901759999997,0.9999999999999236,2.470690908091865,1.4679048918986775,3.6453496992999406,-3.2889347871818932,10.311644716971076,0.7,2.9797635251138618e-05,0.27997020236474884,-3.533821870202896e-10
10,0.0002595868211199999,0.9999999999999056,2.4617091206218844,1.4678125201537024,3.6431504383049336,-3.2889346831596074,10.31164479753195,0.7,2.9797635251138618e-05,0.27997020236474884,-3.472608239111189e-10
11,0.0003215041853439999,0.9999999999998845,2.452355712394602,1.4677089052836974,3.640863893683115,-3.288934576021362,10.311644887676268,0.7,2.9797635251138618e-05,0.27997020236474884,-3.4008042296752946e-10
12,0.00039580502241279986,0.9999999999998596,2.442292366771811,1.4675925837600654,3.6384062180392336,-3.288934466201494,10.311644988288622,0.7,2.9797635251138618e-05,0.27997020236474884,-3.3275501461227917e-10
13,0.0004849660268953598,0.9999999999998305,2.4314517280833634,1.4674627567774996,3.6357609718584047,-3.288934354155815,10.311645099860227,0.7,2.9797635251138614e-05,0.27997020236474884,-3.2504608671342617e-10
14,0.0005919592322744317,0.9999999999997966,2.420377064606595,1.4673200299883546,3.6330636693837843,-3.288934240751887,10.311645221770286,0.7,2.9797635251138618e-05,0.27997020236474884,-3.169381190669897e-10
15,0.0007203510787293179,0.9999999999997569,2.407764535032622,1.4671615556165882,3.6299897741761744,-3.288934125521694,10.31164535517369,0.7,2.9797635251138618e-05,0.27997020236474884,-3.0885674198515707e-10
16,0.0008744212944751816,0.9999999999997107,2.39528621166098,1.4669917162860204,3.626955112998548,-3.288934010249582,10.311645497062857,0.7,2.979763525113862e-05,0.27997020236474884,-2.999066405071961e-10
17,0.0010593055533702177,0.9999999999996567,2.382546593060824,1.4668096854679358,3.6238612237575514,-3.288933895053413,10.311645646852913,0.7,2.979763525113862e-05,0.27997020236474884,-2.9129827931270163e-10
18,0.0012811666640442612,0.9999999999995939,2.3685830195128235,1.466613374855049,3.620468485676995,-3.2889337787681674,10.311645805832718,0.7,2.9797635251138618e-05,0.27997020236474884,-2.8275889112850786e-10
19,0.0015473999968531134,0.9999999999995209,2.356069620111131,1.4664106447712808,3.6174415008684555,-3.288933664022499,10.311645968816398,0.7,2.9797635251138618e-05,0.27997020236474884,-2.736883968607829e-10
20,0.001866879996223736,0.9999999999994362,2.3433469395236437,1.4661970959195965,3.614367605147426,-3.288933547904896,10.311646139756473,0.7,2.9797635251138618e-05,0.27997020236474884,-2.657909908710683e-10
21,0.002250255995468483,0.9999999999993372,2.3308927073971915,1.4659749070116974,3.611365141569762,-3.288933429671062,10.311646318997163,0.7,2.9797635251138618e-05,0.27997020236474884,-2.579906856784341e-10
22,0.0027103071945621796,0.9999999999992221,2.31876841109901,1.4657449671856506,3.6084490374082403,-3.2889333076490503,10.311646508475464,0.7,2.9797635251138618e-05,0.27997020236474884,-2.5056915345969334e-10
23,0.003262368633474616,0.9999999999990874,2.3072996021272343,1.4655101083632425,3.6056992645765007,-3.2889331803899498,10.311646709841215,0.7,2.9797635251138618e-05,0.27997020236474884,-2.4354172040393476e-10
24,0.003924842360169539,0.9999999999989305,2.296369043813782,1.465270517453127,3.603086420453195,-3.2889330451537866,10.311646926992708,0.7,2.9797635251138614e-05,0.27997020236474884,-2.3706623465565703e-10
25,0.004719810832203446,0.9999999999987469,2.2860958798097064,1.4650284701835286,3.6006391530869757,-3.2889328329152,10.311647274184669,0.7,2.9797635251138618e-05,0.27997020236474884,-2.3104658436837575e-10
26,0.005673772998644135,0.9999999999985317,2.2761564842019277,1.4647850714749904,3.5982760035393,-3.288932639771521,10.311647591127107,0.7,2.9797635251138618e-05,0.27997020236474884,-2.2551962531881244e-10
27,0.006818527598372962,0.9999999999982798,2.267427618545286,1.464546635714459,3.5962130050054055,-3.2889324596932608,10.311647887486085,0.7,2.9797635251138618e-05,0.27997020236474884,-2.2029343101378832e-10
